component_id,component_type
C-0162,comp_straight
C-0163,comp_elbow
C-0164,comp_other
C-0165,comp_boss
C-0166,comp_straight
C-0167,comp_other
C-0168,comp_other
C-0169,comp_elbow
C-0170,comp_straight
C-0171,comp_other
C-0172,comp_straight
C-0173,comp_threaded
C-0174,comp_straight
C-0175,comp_elbow
C-0176,comp_other
C-0177,comp_boss
C-0178,comp_threaded
C-0179,comp_threaded
C-0180,comp_threaded
C-0181,comp_threaded
C-0182,comp_threaded
C-0183,comp_other
C-0184,comp_other
C-0185,comp_other
C-0186,comp_sleeve
C-0187,comp_elbow
C-0188,comp_elbow
C-0189,comp_threaded
C-0190,comp_straight
C-0191,comp_straight
C-0192,comp_elbow
C-0193,comp_straight
C-0194,comp_other
C-0195,comp_other
C-0196,comp_other
C-0197,comp_other
C-0198,comp_other
C-0199,comp_boss
C-0200,comp_other
C-0201,comp_other
C-0202,comp_straight
C-0203,comp_other
C-0204,comp_other
C-0205,comp_straight
C-0206,comp_other
C-0207,comp_elbow
C-0208,comp_boss
C-0209,comp_boss
C-0210,comp_threaded
C-0211,comp_threaded
C-0212,comp_threaded
C-0213,comp_boss
C-0214,comp_boss
C-0215,comp_boss
C-0216,comp_threaded
C-0217,comp_threaded
C-0218,comp_threaded
C-0219,comp_straight
C-0220,comp_straight
C-0221,comp_straight
C-0222,comp_other
C-0223,comp_threaded
C-0224,comp_other
C-0225,comp_other
C-0226,comp_sleeve
C-0227,comp_other
C-0228,comp_sleeve
C-0229,comp_straight
C-0230,comp_other
C-0231,comp_straight
C-0232,comp_other
C-0233,comp_other
C-0234,comp_other
C-0235,comp_other
C-0236,comp_other
C-0237,comp_straight
C-0238,comp_elbow
C-0239,comp_other
C-0240,comp_threaded
C-0241,comp_other
C-0242,comp_boss
C-0243,comp_boss
C-0244,comp_straight
C-0245,comp_boss
C-0246,comp_straight
C-0247,comp_straight
C-0248,comp_other
C-0249,comp_other
C-0250,comp_straight
C-0251,comp_other
C-0252,comp_other
C-0253,comp_threaded
C-0254,comp_elbow
C-0255,comp_boss
C-0256,comp_other
C-0257,comp_boss
C-0258,comp_boss
C-0259,comp_elbow
C-0260,comp_boss
C-0261,comp_nut
C-0262,comp_boss
C-0263,comp_threaded
C-0264,comp_threaded
C-0265,comp_other
C-0266,comp_elbow
C-0267,comp_other
C-0268,comp_straight
C-0269,comp_boss
C-0270,comp_other
C-0271,comp_tee
C-0272,comp_threaded
C-0273,comp_elbow
C-0274,comp_boss
C-0275,comp_straight
C-0276,comp_other
C-0277,comp_other
C-0278,comp_boss
C-0279,comp_other
C-0280,comp_other
C-0281,comp_other
C-0282,comp_other
C-0283,comp_other
C-0284,comp_elbow
C-0285,comp_elbow
C-0286,comp_other
C-0287,comp_other
C-0288,comp_other
C-0289,comp_other
C-0290,comp_other
C-0291,comp_other
C-0292,comp_straight
C-0293,comp_other
C-0294,comp_other
C-0295,comp_straight
C-0296,comp_elbow
C-0297,comp_other
C-0298,comp_other
C-0299,comp_other
C-0300,comp_other
C-0301,comp_other
C-0302,comp_other
C-0303,comp_elbow
C-0304,comp_other
C-0305,comp_other
C-0306,comp_straight
C-0307,comp_boss
C-0308,comp_nut
C-0309,comp_sleeve
C-0310,comp_other
C-0311,comp_other
C-0312,comp_other
C-0313,comp_other
C-0314,comp_other
C-0315,comp_nut
C-0316,comp_other
C-0317,comp_other
C-0318,comp_threaded
C-0319,comp_other
C-0320,comp_elbow
C-0321,comp_nut
C-0322,comp_other
C-0323,comp_other
C-0324,comp_other
C-0325,comp_straight
C-0326,comp_other
C-0327,comp_other
C-0328,comp_other
C-0329,comp_other
C-0330,comp_other
C-0331,comp_elbow
C-0332,comp_straight
C-0333,comp_straight
C-0334,comp_straight
C-0335,comp_straight
C-0336,comp_nut
C-0337,comp_nut
C-0338,comp_threaded
C-0339,comp_threaded
C-0340,comp_other
C-0341,comp_other
C-0342,comp_straight
C-0343,comp_straight
C-0344,comp_straight
C-0345,comp_nut
C-0346,comp_other
C-0347,comp_other
C-0348,comp_boss
C-0349,comp_other
C-0350,comp_other
C-0351,comp_other
C-0352,comp_other
C-0353,comp_other
C-0354,comp_adaptor
C-0355,comp_other
C-0356,comp_boss
C-0357,comp_other
C-0358,comp_boss
C-0359,comp_straight
C-0360,comp_straight
C-0361,comp_adaptor
C-0362,comp_straight
C-0363,comp_threaded
C-0364,comp_other
C-0365,comp_other
C-0366,comp_other
C-0367,comp_elbow
C-0368,comp_other
C-0369,comp_threaded
C-0370,comp_straight
C-0371,comp_threaded
C-0372,comp_other
C-0373,comp_other
C-0374,comp_other
C-0375,comp_other
C-0376,comp_other
C-0377,comp_other
C-0378,comp_other
C-0379,comp_other
C-0380,comp_straight
C-0381,comp_other
C-0382,comp_other
C-0383,comp_other
C-0384,comp_other
C-0385,comp_straight
C-0386,comp_threaded
C-0387,comp_boss
C-0388,comp_threaded
C-0389,comp_threaded
C-0390,comp_nut
C-0391,comp_sleeve
C-0392,comp_straight
C-0393,comp_boss
C-0394,comp_elbow
C-0395,comp_other
C-0396,comp_other
C-0397,comp_other
C-0398,comp_straight
C-0399,comp_threaded
C-0400,comp_straight
C-0401,comp_elbow
C-0402,comp_other
C-0403,comp_straight
C-0404,comp_other
C-0405,comp_boss
C-0406,comp_straight
C-0407,comp_elbow
C-0408,comp_other
C-0409,comp_threaded
C-0410,comp_threaded
C-0411,comp_boss
C-0412,comp_other
C-0413,comp_threaded
C-0414,comp_threaded
C-0415,comp_threaded
C-0416,comp_other
C-0417,comp_threaded
C-0418,comp_threaded
C-0419,comp_threaded
C-0420,comp_threaded
C-0421,comp_threaded
C-0422,comp_other
C-0423,comp_straight
C-0424,comp_other
C-0425,comp_boss
C-0426,comp_boss
C-0427,comp_other
C-0428,comp_adaptor
C-0429,comp_other
C-0430,comp_other
C-0431,comp_other
C-0432,comp_boss
C-0433,comp_other
C-0434,comp_straight
C-0435,comp_other
C-0436,comp_other
C-0437,comp_other
C-0438,comp_other
C-0439,comp_other
C-0440,comp_other
C-0441,comp_other
C-0442,comp_other
C-0443,comp_adaptor
C-0444,comp_nut
C-0445,comp_sleeve
C-0446,comp_other
C-0447,comp_elbow
C-0448,comp_nut
C-0449,comp_sleeve
C-0450,comp_straight
C-0451,comp_straight
C-0452,comp_straight
C-0453,comp_straight
C-0454,comp_float
C-0455,comp_float
C-0456,comp_straight
C-0457,comp_straight
C-0458,comp_straight
C-0459,comp_straight
C-0460,comp_straight
C-0461,comp_straight
C-0462,comp_straight
C-0463,comp_straight
C-0464,comp_elbow
C-0465,comp_straight
C-0466,comp_straight
C-0467,comp_other
C-0468,comp_straight
C-0469,comp_other
C-0470,comp_other
C-0471,comp_straight
C-0472,comp_other
C-0473,comp_other
C-0474,comp_boss
C-0475,comp_boss
C-0476,comp_other
C-0477,comp_other
C-0478,comp_other
C-0479,comp_straight
C-0480,comp_straight
C-0481,comp_other
C-0482,comp_other
C-0483,comp_boss
C-0484,comp_other
C-0485,comp_straight
C-0486,comp_boss
C-0487,comp_threaded
C-0488,comp_threaded
C-0489,comp_other
C-0490,comp_other
C-0491,comp_other
C-0492,comp_straight
C-0493,comp_boss
C-0494,comp_float
C-0495,comp_boss
C-0496,comp_float
C-0497,comp_boss
C-0498,comp_straight
C-0499,comp_boss
C-0500,comp_straight
C-0501,comp_elbow
C-0502,comp_boss
C-0503,comp_threaded
C-0504,comp_other
C-0505,comp_other
C-0506,comp_boss
C-0507,comp_other
C-0508,comp_float
C-0509,comp_straight
C-0510,comp_straight
C-0511,comp_other
C-0512,comp_other
C-0513,comp_boss
C-0514,comp_other
C-0515,comp_other
C-0516,comp_elbow
C-0517,comp_other
C-0518,comp_threaded
C-0519,comp_other
C-0520,comp_boss
C-0521,comp_threaded
C-0522,comp_other
C-0523,comp_other
C-0524,comp_other
C-0525,comp_other
C-0526,comp_elbow
C-0527,comp_other
C-0528,comp_other
C-0529,comp_other
C-0530,comp_other
C-0531,comp_other
C-0532,comp_straight
C-0533,comp_boss
C-0534,comp_boss
C-0535,comp_other
C-0536,comp_other
C-0537,comp_elbow
C-0538,comp_straight
C-0539,comp_boss
C-0540,comp_other
C-0541,comp_other
C-0542,comp_other
C-0543,comp_straight
C-0544,comp_boss
C-0545,comp_threaded
C-0546,comp_straight
C-0547,comp_boss
C-0548,comp_boss
C-0549,comp_boss
C-0550,comp_threaded
C-0551,comp_straight
C-0552,comp_other
C-0553,comp_other
C-0554,comp_straight
C-0555,comp_boss
C-0556,comp_boss
C-0557,comp_other
C-0558,comp_other
C-0559,comp_other
C-0560,comp_other
C-0561,comp_other
C-0562,comp_other
C-0563,comp_other
C-0564,comp_other
C-0565,comp_elbow
C-0566,comp_elbow
C-0567,comp_elbow
C-0568,comp_straight
C-0569,comp_boss
C-0570,comp_other
C-0571,comp_other
C-0572,comp_float
C-0573,comp_straight
C-0574,comp_other
C-0575,comp_boss
C-0576,comp_other
C-0577,comp_other
C-0578,comp_other
C-0579,comp_nut
C-0580,comp_nut
C-0581,comp_other
C-0582,comp_other
C-0583,comp_other
C-0584,comp_threaded
C-0585,comp_elbow
C-0586,comp_other
C-0587,comp_other
C-0588,comp_other
C-0589,comp_other
C-0590,comp_other
C-0591,comp_straight
C-0592,comp_other
C-0593,comp_other
C-0594,comp_other
C-0595,comp_other
C-0596,comp_threaded
C-0597,comp_other
C-0598,comp_elbow
C-0599,comp_straight
C-0600,comp_threaded
C-0601,comp_straight
C-0602,comp_straight
C-0603,comp_other
C-0604,comp_other
C-0605,comp_threaded
C-0606,comp_straight
C-0607,comp_threaded
C-0608,comp_elbow
C-0609,comp_other
C-0610,comp_other
C-0611,comp_other
C-0612,comp_straight
C-0613,comp_other
C-0614,comp_other
C-0615,comp_elbow
C-0616,comp_elbow
C-0617,comp_other
C-0618,comp_straight
C-0619,comp_straight
C-0620,comp_other
C-0621,comp_straight
C-0622,comp_straight
C-0623,comp_boss
C-0624,comp_boss
C-0625,comp_elbow
C-0626,comp_other
C-0627,comp_other
C-0628,comp_straight
C-0629,comp_other
C-0630,comp_other
C-0631,comp_other
C-0632,comp_straight
C-0633,comp_other
C-0634,comp_other
C-0635,comp_other
C-0636,comp_other
C-0637,comp_other
C-0638,comp_threaded
C-0639,comp_other
C-0640,comp_other
C-0641,comp_boss
C-0642,comp_other
C-0643,comp_boss
C-0644,comp_other
C-0645,comp_other
C-0646,comp_elbow
C-0647,comp_other
C-0648,comp_other
C-0649,comp_other
C-0650,comp_other
C-0651,comp_threaded
C-0652,comp_straight
C-0653,comp_straight
C-0654,comp_other
C-0655,comp_other
C-0656,comp_other
C-0657,comp_other
C-0658,comp_other
C-0659,comp_other
C-0660,comp_other
C-0661,comp_other
C-0662,comp_other
C-0663,comp_other
C-0664,comp_other
C-0665,comp_other
C-0666,comp_other
C-0667,comp_other
C-0668,comp_other
C-0669,comp_other
C-0670,comp_other
C-0671,comp_other
C-0672,comp_other
C-0673,comp_other
C-0674,comp_other
C-0675,comp_other
C-0676,comp_other
C-0677,comp_other
C-0678,comp_boss
C-0679,comp_straight
C-0680,comp_other
C-0681,comp_other
C-0682,comp_other
C-0683,comp_threaded
C-0684,comp_other
C-0685,comp_other
C-0686,comp_other
C-0687,comp_other
C-0688,comp_elbow
C-0689,comp_other
C-0690,comp_other
C-0691,comp_other
C-0692,comp_other
C-0693,comp_other
C-0694,comp_other
C-0695,comp_other
C-0696,comp_other
C-0697,comp_boss
C-0698,comp_straight
C-0699,comp_boss
C-0700,comp_boss
C-0701,comp_boss
C-0702,comp_threaded
C-0703,comp_straight
C-0704,comp_other
C-0705,comp_other
C-0706,comp_other
C-0707,comp_other
C-0708,comp_other
C-0709,comp_straight
C-0710,comp_other
C-0711,comp_other
C-0712,comp_other
C-0713,comp_other
C-0714,comp_other
C-0715,comp_other
C-0716,comp_other
C-0717,comp_other
C-0718,comp_other
C-0719,comp_other
C-0720,comp_nut
C-0721,comp_other
C-0722,comp_straight
C-0723,comp_boss
C-0724,comp_other
C-0725,comp_other
C-0726,comp_other
C-0727,comp_other
C-0728,comp_other
C-0729,comp_other
C-0730,comp_other
C-0731,comp_other
C-0732,comp_straight
C-0733,comp_other
C-0734,comp_straight
C-0735,comp_other
C-0736,comp_other
C-0737,comp_straight
C-0738,comp_other
C-0739,comp_straight
C-0740,comp_threaded
C-0741,comp_straight
C-0742,comp_other
C-0743,comp_other
C-0744,comp_other
C-0745,comp_other
C-0746,comp_other
C-0747,comp_straight
C-0748,comp_straight
C-0749,comp_other
C-0750,comp_straight
C-0751,comp_other
C-0752,comp_other
C-0753,comp_other
C-0754,comp_other
C-0755,comp_boss
C-0756,comp_other
C-0757,comp_other
C-0758,comp_other
C-0759,comp_other
C-0760,comp_other
C-0761,comp_straight
C-0762,comp_other
C-0763,comp_other
C-0764,comp_other
C-0765,comp_other
C-0766,comp_other
C-0767,comp_other
C-0768,comp_threaded
C-0769,comp_threaded
C-0770,comp_boss
C-0771,comp_other
C-0772,comp_other
C-0773,comp_other
C-0774,comp_other
C-0775,comp_threaded
C-0776,comp_other
C-0777,comp_other
C-0778,comp_straight
C-0779,comp_other
C-0780,comp_boss
C-0781,comp_other
C-0782,comp_straight
C-0783,comp_other
C-0784,comp_other
C-0785,comp_other
C-0786,comp_other
C-0787,comp_straight
C-0788,comp_other
C-0789,comp_elbow
C-0790,comp_other
C-0791,comp_boss
C-0792,comp_straight
C-0793,comp_boss
C-0794,comp_other
C-0795,comp_other
C-0796,comp_boss
C-0797,comp_float
C-0798,comp_other
C-0799,comp_straight
C-0800,comp_other
C-0801,comp_other
C-0802,comp_elbow
C-0803,comp_other
C-0804,comp_boss
C-0805,comp_threaded
C-0806,comp_threaded
C-0807,comp_threaded
C-0808,comp_straight
C-0809,comp_other
C-0810,comp_other
C-0811,comp_other
C-0812,comp_other
C-0813,comp_other
C-0814,comp_other
C-0815,comp_other
C-0816,comp_boss
C-0817,comp_boss
C-0818,comp_other
C-0819,comp_straight
C-0820,comp_elbow
C-0821,comp_elbow
C-0822,comp_elbow
C-0823,comp_adaptor
C-0824,comp_other
C-0825,comp_other
C-0826,comp_threaded
C-0827,comp_nut
C-0828,comp_other
C-0829,comp_straight
C-0830,comp_sleeve
C-0831,comp_nut
C-0832,comp_threaded
C-0833,comp_threaded
C-0834,comp_other
C-0835,comp_other
C-0836,comp_straight
C-0837,comp_boss
C-0838,comp_other
C-0839,comp_elbow
C-0840,comp_straight
C-0841,comp_other
C-0842,comp_other
C-0843,comp_other
C-0844,comp_other
C-0845,comp_other
C-0846,comp_straight
C-0847,comp_other
C-0848,comp_other
C-0849,comp_other
C-0850,comp_straight
C-0851,comp_other
C-0852,comp_other
C-0853,comp_other
C-0854,comp_boss
C-0855,comp_other
C-0856,comp_other
C-0857,comp_other
C-0858,comp_other
C-0859,comp_other
C-0860,comp_other
C-0861,comp_other
C-0862,comp_other
C-0863,comp_other
C-0864,comp_other
C-0865,comp_other
C-0866,comp_other
C-0867,comp_other
C-0868,comp_other
C-0869,comp_boss
C-0870,comp_other
C-0871,comp_other
C-0872,comp_hfl
C-0873,comp_hfl
C-0874,comp_hfl
C-0875,comp_straight
C-0876,comp_other
C-0877,comp_other
C-0878,comp_other
C-0879,comp_other
C-0880,comp_straight
C-0881,comp_straight
C-0882,comp_threaded
C-0883,comp_other
C-0884,comp_other
C-0885,comp_other
C-0886,comp_other
C-0887,comp_other
C-0888,comp_other
C-0889,comp_other
C-0890,comp_other
C-0891,comp_float
C-0892,comp_other
C-0893,comp_boss
C-0894,comp_straight
C-0895,comp_threaded
C-0896,comp_other
C-0897,comp_other
C-0898,comp_other
C-0899,comp_boss
C-0900,comp_threaded
C-0901,comp_other
C-0902,comp_other
C-0903,comp_other
C-0904,comp_other
C-0905,comp_elbow
C-0906,comp_other
C-0907,comp_other
C-0908,comp_other
C-0909,comp_other
C-0910,comp_elbow
C-0911,comp_threaded
C-0912,comp_threaded
C-0913,comp_other
C-0914,comp_other
C-0915,comp_other
C-0916,comp_other
C-0917,comp_straight
C-0918,comp_other
C-0919,comp_other
C-0920,comp_boss
C-0921,comp_other
C-0922,comp_other
C-0923,comp_other
C-0924,comp_other
C-0925,comp_other
C-0926,comp_other
C-0927,comp_straight
C-0928,comp_other
C-0929,comp_other
C-0930,comp_boss
C-0931,comp_elbow
C-0932,comp_other
C-0933,comp_other
C-0934,comp_other
C-0935,comp_other
C-0936,comp_other
C-0937,comp_other
C-0938,comp_threaded
C-0939,comp_other
C-0940,comp_straight
C-0941,comp_straight
C-0942,comp_straight
C-0943,comp_elbow
C-0944,comp_straight
C-0945,comp_threaded
C-0946,comp_straight
C-0947,comp_threaded
C-0948,comp_threaded
C-0949,comp_threaded
C-0950,comp_other
C-0951,comp_other
C-0952,comp_other
C-0953,comp_other
C-0954,comp_other
C-0955,comp_other
C-0956,comp_elbow
C-0957,comp_other
C-0958,comp_other
C-0959,comp_straight
C-0960,comp_straight
C-0961,comp_straight
C-0962,comp_other
C-0963,comp_elbow
C-0964,comp_other
C-0965,comp_boss
C-0966,comp_straight
C-0967,comp_other
C-0968,comp_other
C-0969,comp_other
C-0970,comp_straight
C-0971,comp_threaded
C-0972,comp_elbow
C-0973,comp_straight
C-0974,comp_threaded
C-0975,comp_other
C-0976,comp_straight
C-0977,comp_straight
C-0978,comp_straight
C-0979,comp_other
C-0980,comp_other
C-0981,comp_other
C-0982,comp_other
C-0983,comp_other
C-0984,comp_other
C-0985,comp_other
C-0986,comp_other
C-0987,comp_other
C-0988,comp_other
C-0989,comp_other
C-0990,comp_other
C-0991,comp_other
C-0992,comp_other
C-0993,comp_other
C-0994,comp_straight
C-0995,comp_other
C-0996,comp_other
C-0997,comp_other
C-0998,comp_other
C-0999,comp_elbow
C-1000,comp_other
C-1001,comp_other
C-1002,comp_other
C-1003,comp_other
C-1004,comp_elbow
C-1005,comp_straight
C-1006,comp_elbow
C-1007,comp_other
C-1008,comp_other
C-1009,comp_other
C-1010,comp_other
C-1011,comp_other
C-1012,comp_other
C-1013,comp_other
C-1014,comp_straight
C-1015,comp_other
C-1016,comp_other
C-1017,comp_other
C-1018,comp_other
C-1019,comp_other
C-1020,comp_other
C-1021,comp_other
C-1022,comp_other
C-1023,comp_other
C-1024,comp_elbow
C-1025,comp_other
C-1026,comp_other
C-1027,comp_other
C-1028,comp_other
C-1029,comp_boss
C-1030,comp_other
C-1031,comp_other
C-1032,comp_other
C-1033,comp_other
C-1034,comp_other
C-1035,comp_sleeve
C-1036,comp_other
C-1037,comp_other
C-1038,comp_other
C-1039,comp_hfl
C-1040,comp_other
C-1041,comp_hfl
C-1042,comp_other
C-1043,comp_hfl
C-1044,comp_other
C-1045,comp_boss
C-1046,comp_other
C-1047,comp_other
C-1048,comp_other
C-1049,comp_other
C-1050,comp_other
C-1051,comp_other
C-1052,comp_other
C-1053,comp_other
C-1054,comp_other
C-1055,comp_other
C-1056,comp_other
C-1057,comp_other
C-1058,comp_other
C-1059,comp_nut
C-1060,comp_other
C-1061,comp_other
C-1062,comp_other
C-1063,comp_other
C-1064,comp_other
C-1065,comp_boss
C-1066,comp_straight
C-1067,comp_threaded
C-1068,comp_other
C-1069,comp_elbow
C-1070,comp_other
C-1071,comp_straight
C-1072,comp_threaded
C-1073,comp_other
C-1074,comp_sleeve
C-1075,comp_other
C-1076,comp_other
C-1077,comp_other
C-1078,comp_threaded
C-1079,comp_other
C-1080,comp_other
C-1081,comp_other
C-1082,comp_other
C-1083,comp_other
C-1084,comp_other
C-1085,comp_other
C-1086,comp_other
C-1087,comp_other
C-1088,comp_other
C-1089,comp_boss
C-1090,comp_other
C-1091,comp_other
C-1092,comp_other
C-1093,comp_other
C-1094,comp_other
C-1095,comp_other
C-1096,comp_float
C-1097,comp_other
C-1098,comp_other
C-1099,comp_other
C-1100,comp_other
C-1101,comp_other
C-1102,comp_float
C-1103,comp_other
C-1104,comp_other
C-1105,comp_other
C-1106,comp_other
C-1107,comp_other
C-1108,comp_other
C-1109,comp_other
C-1110,comp_other
C-1111,comp_other
C-1112,comp_other
C-1113,comp_straight
C-1114,comp_other
C-1115,comp_straight
C-1116,comp_other
C-1117,comp_boss
C-1118,comp_other
C-1119,comp_other
C-1120,comp_other
C-1121,comp_other
C-1122,comp_other
C-1123,comp_boss
C-1124,comp_boss
C-1125,comp_other
C-1126,comp_other
C-1127,comp_boss
C-1128,comp_other
C-1129,comp_other
C-1130,comp_other
C-1131,comp_other
C-1132,comp_other
C-1133,comp_other
C-1134,comp_other
C-1135,comp_float
C-1136,comp_other
C-1137,comp_other
C-1138,comp_other
C-1139,comp_other
C-1140,comp_other
C-1141,comp_other
C-1142,comp_other
C-1143,comp_other
C-1144,comp_other
C-1145,comp_straight
C-1146,comp_other
C-1147,comp_other
C-1148,comp_other
C-1149,comp_float
C-1150,comp_other
C-1151,comp_other
C-1152,comp_other
C-1153,comp_other
C-1154,comp_other
C-1155,comp_other
C-1156,comp_other
C-1157,comp_other
C-1158,comp_other
C-1159,comp_other
C-1160,comp_other
C-1161,comp_other
C-1162,comp_other
C-1163,comp_other
C-1164,comp_other
C-1165,comp_other
C-1166,comp_other
C-1167,comp_other
C-1168,comp_other
C-1169,comp_other
C-1170,comp_other
C-1171,comp_boss
C-1172,comp_other
C-1173,comp_other
C-1174,comp_other
C-1175,comp_other
C-1176,comp_other
C-1177,comp_other
C-1178,comp_other
C-1179,comp_other
C-1180,comp_other
C-1181,comp_other
C-1182,comp_other
C-1183,comp_other
C-1184,comp_other
C-1185,comp_other
C-1186,comp_other
C-1187,comp_other
C-1188,comp_other
C-1189,comp_other
C-1190,comp_other
C-1191,comp_other
C-1192,comp_other
C-1193,comp_other
C-1194,comp_adaptor
C-1195,comp_adaptor
C-1196,comp_adaptor
C-1197,comp_adaptor
C-1198,comp_adaptor
C-1199,comp_nut
C-1200,comp_nut
C-1201,comp_other
C-1202,comp_nut
C-1203,comp_straight
C-1204,comp_other
C-1205,comp_other
C-1206,comp_other
C-1207,comp_straight
C-1208,comp_elbow
C-1209,comp_threaded
C-1210,comp_straight
C-1211,comp_other
C-1212,comp_straight
C-1213,comp_other
C-1214,comp_other
C-1215,comp_other
C-1216,comp_other
C-1217,comp_other
C-1218,comp_threaded
C-1219,comp_threaded
C-1220,comp_other
C-1221,comp_threaded
C-1222,comp_other
C-1223,comp_other
C-1224,comp_straight
C-1225,comp_boss
C-1226,comp_other
C-1227,comp_other
C-1228,comp_other
C-1229,comp_adaptor
C-1230,comp_adaptor
C-1231,comp_boss
C-1232,comp_other
C-1233,comp_boss
C-1234,comp_straight
C-1235,comp_straight
C-1236,comp_straight
C-1237,comp_other
C-1238,comp_threaded
C-1239,comp_elbow
C-1240,comp_other
C-1241,comp_other
C-1242,comp_straight
C-1243,comp_nut
C-1244,comp_sleeve
C-1245,comp_straight
C-1246,comp_other
C-1247,comp_elbow
C-1248,comp_other
C-1249,comp_other
C-1250,comp_other
C-1251,comp_other
C-1252,comp_other
C-1253,comp_other
C-1254,comp_other
C-1255,comp_elbow
C-1256,comp_boss
C-1257,comp_boss
C-1258,comp_other
C-1259,comp_boss
C-1260,comp_other
C-1261,comp_other
C-1262,comp_other
C-1263,comp_other
C-1264,comp_other
C-1265,comp_other
C-1266,comp_other
C-1267,comp_other
C-1268,comp_other
C-1269,comp_other
C-1270,comp_other
C-1271,comp_other
C-1272,comp_other
C-1273,comp_other
C-1274,comp_other
C-1275,comp_other
C-1276,comp_other
C-1277,comp_other
C-1278,comp_other
C-1279,comp_other
C-1280,comp_other
C-1281,comp_other
C-1282,comp_other
C-1283,comp_other
C-1284,comp_other
C-1285,comp_other
C-1286,comp_other
C-1287,comp_other
C-1288,comp_other
C-1289,comp_other
C-1290,comp_other
C-1291,comp_other
C-1292,comp_other
C-1293,comp_other
C-1294,comp_other
C-1295,comp_other
C-1296,comp_other
C-1297,comp_other
C-1298,comp_other
C-1299,comp_other
C-1300,comp_other
C-1301,comp_other
C-1302,comp_other
C-1303,comp_other
C-1304,comp_other
C-1305,comp_other
C-1306,comp_other
C-1307,comp_other
C-1308,comp_boss
C-1309,comp_other
C-1310,comp_other
C-1311,comp_other
C-1312,comp_adaptor
C-1313,comp_adaptor
C-1314,comp_straight
